channelId,title,viewCount,subscriberCount,videoCount
UC1R3yteq3HoSUIHQ7hp65XQ,Nessaj Gaming,192151748,428000,3392
UCNoiWmvkDUL0q-6ECxNFH0Q,JONATHAN GAMING,696661545,7250000,499
UCtSP1OA6jO4quIGLae7Fb4g,Rocket Beans Gaming,303504612,358000,8275
UCGOR7gZunIWOnKuX1cC0bEg,GMi Gaming,583747471,780000,1606
UCY-_QmcW09PHAImgVnKxU2g,SQUEEZIE GAMING,2581892352,5020000,1417
UCUEBwthcpWBTQXscn8bpS6Q,Boomstick Gaming,119832417,384000,731
UCvwd8ip8psK850ocD-Re3Fg,Tribe Gaming,319650598,924000,1031
UC_rVZCm-6E4y5qw5rtq9TbQ,Gaming Follow,251724751,1330000,665
UCcsL06xD4HLPWMQPDwcdjyQ,DARLUNG GAMING,1418468898,2570000,1844
UCYQ8oHPbnZ1sLBjiCSdP8ZQ,ARTA GAME,2401912342,5800000,2153
UC6zzlBIwNS9GJZZ3rBx_WhQ,Hudson's Playground Gaming,2189950212,1900000,699
UCXaFhaxwH3ASTgwwKL4Kt2Q,Yippi Gaming,2209313469,6560000,1599
UCE9LtVaTm5PhbgHfH_AvHkg,Brandon Stilley Gaming,29961125,140000,537
UCemhZ2At2lgifTJLClGCz9A,Royalty Gaming,1288535674,7350000,176
UCFBapHA35loZ3KZwT_z3BsQ,Game Two,245900352,523000,1279
UCcV7uqrrMUF3njRuo5WMFwA,Guzmancitos Gaming,48704001,232000,17
UCnQ4TDbESxZ47uBH6cB_Nrg,K-City Gaming,1133620614,1670000,627
UCe--4YIC6r3rbXbNykocCrg,Selena Gaming,436560492,1430000,1894
UC3S6nIDGJ5OtpC-mbvFA8Ew,Orange Juice Gaming,2154006399,3600000,3569
UCuoChnnMFW_eD0xFGBXewxA,Zamfam Gaming,103332768,1110000,87
UCEQ7KR9enYdQsB6kcMnw0NA,Mortismal Gaming,127114235,422000,1972
UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,4549159482,19600000,812
UCvmTVIw2ZCJg49XHR0OoSAg,放課後 GAMING LIFE,392141290,1370000,840
UC2ArKq3GKdiA6ufRwE2NytQ,ND Gaming,707894435,1180000,3779
UCFx8S2YX4DFTYicIOV5PQag,Insane Gaming With Mayank,148702254,810000,709
UCwGJSGqTaFPNTtRmn_daz4Q,MR SAJAL GAMING ,2472859,24000,236
UCGo-tjf3PYvapeSCtP0rJEA,Ultra Gaming,116399336,86800,1021
UCGGF6J6IUgB_K2_y2Rwh2Cw,Skvala Gaming,64304210,257000,1097
UCv4nV-5vaqKvtLj8IUEwd9A,RISHI GAMING,559136775,4090000,783
UCATWC1JSlhzmYeDbjnS8WwA,Senpai Gaming,97671794,714000,588
UCCPWi_OwWMR5JTiujn7v-7g,Tamil Gaming தமிழ் கேமிங்,205017189,541000,3475
UCdegm7Y2AePJhkkmWCyYEwg,Rajshri Food,655058032,3350000,2025
UCRIZtPl9nb9RiXc9btSTQNw,Food Wishes,1126719269,4630000,2443
UCzyN_JSs95aDgDFrfOxagEw,Food Story,181183362,437000,2262
UC3X1vPZSNgfA4HUjwtPlePw,Flavours Of Food,313070667,1330000,1146
UCwSPpHFbgl2MRlzmALTcvzg,Food For Foodies,51852403,297000,779
UCREvoVa8jYvFoMmuWRgy9oA,Valerie's Food,16293252,108000,593
UClU1_8hUFeixVByX_MG5pMg,Soul Food Cooking,27958836,266000,500
UCHUn2GT4DD2vM9QB0vTUmWg,Food Impromptu,70431169,611000,148
UCfE5Cz44GlZVyoaYTHJbuZw,Guga Foods,978740458,5300000,557
